-24 -0 -0
-23.9941 -0 -0
-23.9883 -0 -0
-23.9824 -0 -0
-23.9766 0 -0
-23.9707 0 -0
-23.9648 0 -0
-23.959 0 -0
-23.9531 0 -0
-23.9473 0 -0
-23.9414 0 -0
-23.9355 0 -0
-23.9297 0 -0
-23.9238 0 -0
-23.918 0 -0
-23.9121 0 -0
-23.9062 0 -0
-23.9004 0 -0
-23.8945 0 -0
-23.8887 0 -0
-23.8828 0 -0
-23.8769 0 -0
-23.8711 0 0
-23.8652 0 0
-23.8594 0 0
-23.8535 0 0
-23.8476 0 0
-23.8418 0 0
-23.8359 0 0
-23.8301 0 0
-23.8242 0 0
-23.8183 0 0
-23.8125 0 0
-23.8066 0 0
-23.8008 0 0
-23.7949 0 0
-23.789 0 0
-23.7832 0 0
-23.7773 0 0
-23.7715 0 0
-23.7656 -0 0
-23.7597 -0 0
-23.7539 -0 0
-23.748 -0 0
-23.7422 -0 0
-23.7363 -0 0
-23.7304 -0 0
-23.7246 -0 0
-23.7187 -0 0
-23.7129 -0 0
-23.707 -0 0
-23.7011 -0 0
-23.6953 -0 0
-23.6894 -0 0
-23.6836 -0 0
-23.6777 -0 0
-23.6718 -0 0
-23.666 -0 -0
-23.6601 -0 -0
-23.6543 -0 -0
-23.6484 -0 -0
-23.6425 -0 -0
-23.6367 -0 -0
-23.6308 -0 -0
-23.625 -0 -0
-23.6191 -0 -0
-23.6132 -0 -0
-23.6074 -0 -0
-23.6015 -0 -0
-23.5957 -0 -0
-23.5898 -0 -0
-23.5839 -0 -0
-23.5781 -0 -0
-23.5722 -0 -0
-23.5664 -0 -0
-23.5605 0 -0
-23.5546 0 -0
-23.5488 0 -0
-23.5429 0 -0
-23.5371 0 -0
-23.5312 0 -0
-23.5253 0 -0
-23.5195 0 -0
-23.5136 0 -0
-23.5078 0 -0
-23.5019 0 -0
-23.496 0 -0
-23.4902 0 -0
-23.4843 0 -0
-23.4785 0 -0
-23.4726 0 -0
-23.4667 0 -0
-23.4609 0 -0
-23.455 0 0
-23.4492 0 0
-23.4433 0 0
-23.4374 0 0
-23.4316 0 0
-23.4257 0 0
-23.4199 0 0
-23.414 0 0
-23.4081 0 0
-23.4023 0 0
-23.3964 0 0
-23.3906 0 0
